route_short_name,trip_id,direction_id,first_stop,last_stop,num_stops,geometry
103,NORMAL_103_Hinjawadi - Maan Phase 3 To Katraj_Down-0720_0,1,Hinjawadi - Maan Phase 3,Katraj,74,"LINESTRING (73.68818 18.57655,73.6876 18.5811,73.69639 18.58513,73.70494 18.58902,73.70766 18.59348,73.71284 18.59603,73.7179 18.59686,73.72808 18.59451,73.73245 18.59344,73.733 18.59114,73.73391 18.58635,73.73888 18.59161,73.75045 18.59095,73.75438 18.59203,73.75753 18.59127,73.76082 18.58295,73.76376 18.57483,73.76782 18.56408,73.77024 18.55703,73.77304 18.54961,73.77373 18.54822,73.77398 18.54754,73.77869 18.54524,73.78277 18.54404,73.78568 18.54358,73.7868 18.54328,73.79015 18.54267,73.79195 18.54158,73.79394 18.53948,73.79609 18.53778,73.79567 18.53656,73.79376 18.53353,73.78674 18.52665,73.782 18.52612,73.77884 18.51963,73.78214 18.51539,73.78223 18.51222,73.7836 18.50761,73.78988 18.50847,73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.8457 18.51084,73.84752 18.50953,73.84974 18.50821,73.85285 18.5061,73.85478 18.50442,73.85789 18.50159,73.85817 18.49928,73.85811 18.49701,73.85808 18.4943,73.85766 18.48967,73.85767 18.48638,73.85734 18.48107,73.85632 18.47501,73.8577 18.46867,73.85817 18.4644,73.85851 18.45702,73.85853 18.4538,73.85864 18.44989,73.85962 18.4476)"
103,NORMAL_103_Katraj To Hinjawadi - Maan Phase 3_Up-0530_0,1,Katraj,Hinjawadi - Maan Phase 3,73,"LINESTRING (73.85868 18.44682,73.85802 18.45011,73.85846 18.45382,73.85836 18.45738,73.85805 18.46377,73.8577 18.46808,73.85626 18.47585,73.85713 18.48104,73.8574 18.48674,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85552 18.50111,73.85369 18.50314,73.8531 18.50573,73.84974 18.50821,73.84752 18.50953,73.84545 18.5111,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81825 18.51082,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792,73.79042 18.5083,73.78404 18.50704,73.78223 18.51222,73.78125 18.51694,73.77984 18.5226,73.78178 18.52598,73.79035 18.52692,73.79376 18.53353,73.79571 18.53615,73.79585 18.53765,73.79381 18.53898,73.79184 18.54154,73.79027 18.5424,73.78689 18.54335,73.78518 18.54348,73.78273 18.54394,73.77869 18.54524,73.773 18.54853,73.77224 18.55005,73.77005 18.55698,73.76763 18.56378,73.76345 18.57479,73.76052 18.5829,73.75752 18.59096,73.75415 18.59177,73.74979 18.59082,73.73881 18.59072,73.73332 18.58637,73.73293 18.591,73.73147 18.59387,73.72802 18.59435,73.71821 18.59669,73.71246 18.59573,73.70835 18.59354,73.70494 18.58902,73.6967 18.58511,73.68781 18.5809,73.68839 18.57654)"
103,NORMAL_103_Katraj To Kothrud Depot (Ladies Sp)_Up-0820_0,1,Katraj,Kothrud Depot,35,"LINESTRING (73.85868 18.44682,73.85801 18.44984,73.85833 18.45392,73.85836 18.45738,73.85805 18.46377,73.8577 18.46808,73.85626 18.47585,73.85713 18.48104,73.8574 18.48674,73.85732 18.48938,73.85771 18.49362,73.858 18.4962,73.85817 18.49928,73.85761 18.50068,73.85369 18.50314,73.8531 18.50573,73.85092 18.5074,73.84752 18.50953,73.8457 18.51084,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83208 18.50909,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792)"
103,NORMAL_103_Katraj To Kothrud Depot_Up-0550_0,0,Katraj,Kothrud Depot,35,"LINESTRING (73.85868 18.44682,73.85802 18.45011,73.85846 18.45382,73.85836 18.45738,73.85805 18.46377,73.8577 18.46808,73.85626 18.47585,73.85713 18.48104,73.8574 18.48674,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85552 18.50111,73.85369 18.50314,73.85295 18.50589,73.84974 18.50821,73.84752 18.50953,73.8457 18.51084,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792)"
103,NORMAL_103_Kothrud Depot To Katraj (Ladies Sp)_Down-0750_0,1,Kothrud Depot,Katraj,35,"LINESTRING (73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84545 18.5111,73.84758 18.50956,73.85092 18.5074,73.85285 18.5061,73.85479 18.50447,73.85789 18.50159,73.85817 18.49928,73.85823 18.49649,73.85808 18.4943,73.85766 18.48967,73.85767 18.48638,73.85734 18.48107,73.85632 18.47501,73.8577 18.46867,73.85817 18.4644,73.85851 18.45702,73.85867 18.45394,73.85834 18.44986,73.85911 18.44665)"
103,NORMAL_103_Kothrud Depot To Katraj_Down-0545_0,0,Kothrud Depot,Katraj,35,"LINESTRING (73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.8457 18.51084,73.84752 18.50953,73.84974 18.50821,73.85285 18.5061,73.85478 18.50442,73.85789 18.50159,73.85817 18.49928,73.85817 18.49701,73.85808 18.4943,73.85766 18.48967,73.85767 18.48638,73.85734 18.48107,73.85632 18.47501,73.8577 18.46867,73.85817 18.4644,73.85851 18.45702,73.85853 18.4538,73.85864 18.44989,73.85911 18.44665)"
103M,NORMAL_103M_Katraj To MIT College_Up-0600_0,0,Katraj,MIT College,30,"LINESTRING (73.85868 18.44682,73.85801 18.44984,73.85833 18.45392,73.85836 18.45738,73.85805 18.46377,73.8577 18.46808,73.85626 18.47585,73.85713 18.48104,73.8574 18.48674,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85552 18.50111,73.85369 18.50314,73.8531 18.50573,73.84974 18.50821,73.84752 18.50953,73.8457 18.51084,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.8172 18.51154,73.81708 18.51222,73.8177 18.51246)"
103M,NORMAL_103M_MIT College To Katraj_Down-0655_0,0,MIT College,Katraj,30,"LINESTRING (73.8177 18.51246,73.8172 18.51205,73.81741 18.51146,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84545 18.5111,73.84758 18.50956,73.85092 18.5074,73.85294 18.50581,73.85479 18.50447,73.85789 18.50159,73.85817 18.49928,73.85832 18.49653,73.85808 18.4943,73.85766 18.48967,73.85767 18.48638,73.85734 18.48107,73.85632 18.47501,73.8577 18.46867,73.85817 18.4644,73.85851 18.45702,73.85867 18.45394,73.85827 18.44972,73.85962 18.4476)"
104,NORMAL_104_DSK Vishwa To Deccan Gymkhana_Down-0610_0,0,DSK Vishwa,Deccan Gymkhana,37,"LINESTRING (73.79892 18.44325,73.80372 18.44706,73.81033 18.44779,73.81066 18.44885,73.81098 18.45058,73.81161 18.45394,73.81173 18.4557,73.81311 18.46136,73.81549 18.46436,73.81744 18.46667,73.81944 18.46868,73.82037 18.47043,73.82086 18.47167,73.82251 18.47534,73.82356 18.47772,73.82596 18.48147,73.82786 18.48491,73.82853 18.48712,73.82672 18.48935,73.82558 18.49,73.82024 18.49205,73.8193 18.49243,73.81776 18.4907,73.81666 18.48921,73.81453 18.48942,73.81512 18.49116,73.81332 18.4958,73.81357 18.50002,73.81561 18.50223,73.82036 18.50379,73.82417 18.5055,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84274 18.51645)"
104,NORMAL_104_Deccan Gymkhana To DSK Vishwa_Up-0530_0,0,Deccan Gymkhana,DSK Vishwa,37,"LINESTRING (73.84274 18.51645,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82417 18.5055,73.82034 18.50356,73.81499 18.50166,73.81382 18.49973,73.81339 18.49486,73.81525 18.4912,73.81414 18.48873,73.8166 18.48914,73.81783 18.49096,73.81807 18.49199,73.82024 18.49205,73.82486 18.49014,73.82703 18.48895,73.82887 18.48732,73.82775 18.48376,73.82534 18.48024,73.82439 18.47866,73.82284 18.47577,73.82165 18.47325,73.82052 18.47033,73.81985 18.46901,73.81768 18.46658,73.81507 18.46313,73.81274 18.46065,73.81182 18.45576,73.81172 18.45442,73.81123 18.45135,73.81105 18.45053,73.81036 18.44755,73.80498 18.44719,73.79882 18.44308)"
